Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
CGE Gas Natural SA,51379408,196104,Chile,Chile,10014,Utilities,26.2645642,29.2587018,28.20649191,25.65370613,41.9956051,72.25838092,122.6956894,109.0579502,86.54445153,70.73824298,61.41149039,52.62627526,45.22256161
Empresas Tricot SA,53653414,197362,Chile,Chile,10004,Consumer Cyclical,9.456766638,8.777217894,8.059229464,7.870953245,11.757994,15.94326022,21.55585918,16.71731281,13.27312823,10.70288366,9.331360244,8.437146373,7.561358482
Salmones Camanchaca SA,34294084,198623,Chile,Chile,10005,Consumer Non-Cyclical,1.758209186,2.631418632,3.463549716,4.782025368,10.10869015,22.50317206,51.64960743,78.02866746,119.337229,181.7965188,310.6545441,518.2099751,788.513555
Inmobiliaria Manquehue SA,17563683,198777,Chile,Chile,10008,Financial,1.009464601,0.758170679,0.841183753,0.960133228,1.670447535,2.885272079,4.934903234,4.234281872,3.628617682,2.977490775,2.544674644,2.328255956,2.069619383
Cia General de Electricidad SA,46333085,199374,Chile,Chile,10014,Utilities,19.04775902,21.72056267,23.44856981,23.48103865,39.99504573,71.71136971,124.860243,117.9331761,101.9028508,87.07065356,78.48818036,70.88682945,64.52860577
Plaza SA,16402228,199740,Chile,Chile,10008,Financial,0.188051615,0.300192274,0.423228944,0.572348024,1.24193096,2.634386789,5.526656258,5.41842585,5.123125322,4.81917061,4.605234234,4.356001222,3.912944735
Cencosud Shopping SA,63050644,201446,Chile,Chile,10008,Financial,1.019681934,1.158896116,1.350299774,1.469466579,2.678883705,4.589434881,7.743719568,6.435536099,5.086612487,4.477427295,4.034001216,3.569373292,3.229573823
Supreme Ventures Ltd,10549764,89265,Jamaica,Jamaica,10004,Consumer Cyclical,2.893604844,2.595242459,2.630346664,2.581552068,6.300113836,12.29467328,21.42603497,13.63896346,9.821746558,7.173294607,5.998409662,4.988000225,4.312601935
Mayberry Investments Ltd,1135979,89311,Jamaica,Jamaica,10008,Financial,38.84352446,48.57193307,58.28191244,65.42148673,159.3008845,340.3472773,627.7816949,334.7161087,180.7871236,103.7956081,74.98609389,56.63474205,44.61611223
Scotia Group Jamaica Ltd,129892,89419,Jamaica,Jamaica,10008,Financial,15.12995672,18.8788042,23.69262713,27.17032177,67.1858283,147.3320486,273.4827423,146.3825836,80.41498456,46.46600655,33.46582347,25.37735159,19.81847574
Berger Paints Jamaica Ltd,129893,89420,Jamaica,Jamaica,10002,Basic Materials,25.45381432,25.41525372,21.7917354,20.23725565,28.83266247,42.45861487,58.85725481,50.30063967,41.29963346,33.65356869,28.8869553,24.74573368,21.45716386
Caribbean Cement Co Ltd,129894,89421,Jamaica,Jamaica,10011,Industrial,48.28800719,47.32560028,47.60789513,47.21918289,74.97099029,115.1883272,166.4041593,147.2343326,121.1145692,100.6831806,84.79814813,73.79981254,65.12707934
Carreras Ltd,129896,89422,Jamaica,Jamaica,10005,Consumer Non-Cyclical,0.210071757,0.202514581,0.221287047,0.244466905,0.301322264,0.317083315,0.340416947,0.371659204,0.371476,0.337534562,0.318599305,0.312364401,0.263676377
Ciboney Group Ltd,129898,89424,Jamaica,Jamaica,10006,Diversified,108.672604,74.98327619,52.61571898,46.1597041,80.41691615,131.6345966,181.6847742,146.7109801,111.0102021,87.89113756,74.11540944,66.45858084,58.76817183
1834 Investments Ltd,129906,89432,Jamaica,Jamaica,10003,Communications,34.66116508,43.74790077,52.90924832,56.38942754,90.77453053,150.4870662,242.2415147,240.3480003,235.3911438,219.9782772,220.0228975,215.9685778,216.1111216
GraceKennedy Ltd,129908,89434,Jamaica,Jamaica,10004,Consumer Cyclical,43.38708006,39.24637198,33.1077742,29.50776869,65.38330269,123.4840217,208.6612705,132.9857974,95.38728784,70.54239082,57.04320725,46.35247218,38.42379901
Jamaica Broilers Group Ltd,129912,89437,Jamaica,Jamaica,10005,Consumer Non-Cyclical,45.41005093,44.41643854,41.5622855,36.50418002,36.51698234,36.44580958,35.33737217,31.41039246,29.56883576,26.88818784,24.64797065,22.27849246,20.26018286
Jamaica Producers Group,129916,89439,Jamaica,Jamaica,10005,Consumer Non-Cyclical,66.22560043,59.70920048,53.71012558,48.44054916,49.08874843,48.4863502,47.12862334,41.73702058,38.4810763,34.55845598,31.3007843,27.82389716,25.12300326
Sagicor Group Jamaica Ltd,129919,89441,Jamaica,Jamaica,10008,Financial,11.03086878,15.02499165,19.05690141,22.53349337,56.72070614,126.2000862,234.9548989,124.0621459,67.05747591,38.53784161,27.72194196,20.78006343,16.24264258
PanJam Investment Ltd,129926,89446,Jamaica,Jamaica,10008,Financial,1.598017315,2.10734038,2.658233829,3.136812183,7.943876868,17.16459185,32.69076357,17.516023,9.857913784,5.804737962,4.269519628,3.326461162,2.637938829
Radio Jamaica Ltd,129928,89448,Jamaica,Jamaica,10003,Communications,58.87057159,58.16894854,56.71108726,55.09809245,86.22821078,132.8167926,190.3383265,165.7041332,132.7044247,104.2792649,86.44469479,70.49908627,58.24891854
Salada Foods Ltd,129930,89450,Jamaica,Jamaica,10005,Consumer Non-Cyclical,29.53609591,26.09459169,21.01160703,17.86621796,17.51093458,18.02904718,18.22460325,16.53952762,15.5937736,13.76184611,12.46374901,10.95276558,9.77259285
